month,hccss,accepted,refused,total,mc.denom,missed,serviced,canceled.nsnf,client.falls,rs.events,monthly.clients,staff.rs,workers.in.area,counter.offer.rate,hours.countered,assess.to.date,initial,apr.due,nsnf.total
2021-10-01,CE,43,33,76,19167,10,19167,0,7,0,884,2,160,74.1,23.1,NA,NA,NA,NA
2021-10-01,CENT,116,28,144,39960,26,39960,0,16,3,1891,3,526,87,36.9,NA,NA,NA,NA
2021-10-01,CW,29,14,43,2284,0,2284,0,0,0,130,1,75,100,31.4,NA,NA,NA,NA
2021-10-01,TC,20,17,37,14694,4,14694,0,8,2,474,1,201,90,22.2,NA,NA,NA,NA
2021-10-01,Overall,208,92,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-01,CC,NA,NA,NA,NA,1,NA,NA,7,2,902,0,437,NA,NA,NA,NA,NA,NA
2021-11-01,CE,39,39,78,18594,2,17920,674,13,1,878,0,164,94.7,24.1,NA,NA,24,NA
2021-11-01,CENT,116,45,161,40158,13,38858,1300,9,1,1901,1,539,84.6,28.5,NA,NA,131,NA
2021-11-01,CW,17,14,31,2335,2,2195,140,0,0,131,2,75,83.3,16.2,NA,NA,81,NA
2021-11-01,TC,19,20,39,14513,1,14142,371,9,0,484,1,192,100,43.5,NA,NA,NA,NA
2021-11-01,Overall,191,118,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-01,CC,NA,NA,NA,NA,0,NA,NA,6,0,897,0,433,NA,NA,NA,NA,NA,NA
2021-12-01,Overall,192,171,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,NA,NA,NA
2021-12-01,CC,NA,NA,NA,NA,4,NA,NA,8,0,887,0,427,NA,NA,NA,NA,NA,NA
2021-12-01,CE,41,73,114,21044,26,21044,0,9,0,876,8,165,91,23.9,45.29,35,22,NA
2021-12-01,CENT,113,49,162,44631,26,44631,0,14,0,1906,0,539,93.5,30.9,42.8,35,140,NA
2021-12-01,CW,12,33,45,2616,2,2616,0,1,0,132,0,69,100,31,32.8,35,88,NA
2021-12-01,TC,26,16,42,16091,2,16091,0,9,1,488,0,195,100,43.4,47.4,35,NA,NA
2022-01-01,Overall,153,276,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA
2022-01-01,CC,NA,NA,NA,NA,4,NA,NA,8,0,886,2,425,NA,NA,NA,NA,NA,NA
2022-01-01,CE,37,123,160,18686,56,16346,2340,9,2,881,3,152,65.14,10.07,40.25,31,23,274
2022-01-01,CENT,86,92,178,39508,96,35945,3563,19,1,1895,1,534,54.3,14.6,39.4,31,139,NA
2022-01-01,CW,13,30,43,2300,2,1969,331,0,0,136,0,76,96,28.9,30.3,31,88,NA
2022-01-01,TC,17,31,48,14537,3,13684,853,7,0,492,3,197,73.1,26.3,44.8,31,NA,NA
2022-02-01,Overall,145,125,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,NA
2022-02-01,CC,NA,NA,NA,NA,0,NA,NA,5,0,891,4,422,NA,NA,NA,NA,NA,NA
2022-02-01,CE,35,56,91,16480,11,15766,714,18,1,854,3,151,75.47,18.5,43.86,13,14,167
2022-02-01,CENT,83,41,124,34991,5,33719,1272,12,1,1872,4,518,72.5,27.1,39.6,13,130,NA
2022-02-01,CW,12,14,26,2251,1,2088,163,1,0,143,0,75,76.9,34.4,34.4,13,100,NA
2022-02-01,TC,15,14,29,13058,3,12708,350,1,1,475,1,187,92.9,39.9,47.1,13,NA,NA
2022-03-01,Overall,172,116,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,NA,NA
2022-03-01,CC,NA,NA,NA,NA,1,NA,NA,8,1,894,1,423,NA,NA,NA,NA,NA,NA
2022-03-01,CE,35,37,72,18265,11,17546,719,12,2,857,5,148,94.59,29.46,56.28,24,14,236
2022-03-01,CENT,115,49,164,38837,6,37570,1267,23,3,1867,4,509,89.8,30.6,43.4,24,114,NA
2022-03-01,CW,9,6,15,2453,0,2286,167,1,0,137,0,78,100,37.9,39.7,24,100,NA
2022-03-01,TC,13,24,37,14651,1,14343,308,4,0,466,2,181,87.5,57.8,65.8,24,NA,NA
2022-04-01,Overall,173,116,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA
2022-04-01,CC,NA,NA,NA,NA,1,NA,NA,3,1,899,1,437,NA,NA,NA,NA,NA,NA
2022-04-01,CE,45,33,78,17086,10,16433,653,12,2,859,2,145,90.91,43.3,62.33,12,10,271
2022-04-01,CENT,108,51,159,37330,77,35877,1453,23,2,1886,4,516,82.35,31.8,46.7,12,121,NA
2022-04-01,CW,5,12,17,2385,1,2187,198,0,0,127,0,77,100,26.3,39.3,12,98,NA
2022-04-01,TC,15,20,35,13696,1,13357,339,5,0,464,1,182,90,25.2,71.8,12,NA,NA
2022-05-01,Overall,189,132,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,NA,NA,NA
2022-05-01,CC,NA,NA,NA,NA,3,NA,NA,12,13,901,1,431,NA,NA,NA,NA,NA,NA
2022-05-01,CE,36,43,79,17682,11,16796,886,16,2,854,1,148,97.67,42.7,64.25,13,9,336
2022-05-01,CENT,116,58,174,39502,20,37786,1716,19,2,1904,5,515,81.03,23.7,46.63,13,123,NA
2022-05-01,CW,12,15,27,2410,0,2244,166,1,0,132,0,75,100,31.8,43.7,13,113,NA
2022-05-01,TC,25,16,41,14069,1,13719,350,5,5,469,0,169,93.75,56.3,61.92,13,NA,NA
2022-06-01,Overall,181,138,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.27,NA,NA,NA
2022-06-01,CC,NA,NA,NA,NA,1,NA,NA,18,2,888,0,433,NA,NA,NA,NA,NA,NA
2022-06-01,CE,43,62,105,17518,10,16706,812,16,2,855,4,147,90.32,29.15,67,18,9,394
2022-06-01,CENT,99,57,156,39218,19,37599,1619,29,4,1914,4,524,91.23,30.46,48.32,18,136,NA
2022-06-01,CW,6,7,13,2366,0,2242,124,1,0,129,1,73,100,71.11,33.33,18,113,NA
2022-06-01,TC,33,12,45,14278,5,13860,418,5,0,487,1,166,75,48.55,67.05,18,NA,NA
2022-07-01,CENT,93,50,143,39264,92,37686,1578,12,1,1907,4,532,88,29.18,50.14,18,140,NA
2022-07-01,CE,33,63,96,17247,32,16519,728,14,3,861,3,144,96.83,24.58,71.75,18,11,432
2022-07-01,CW,17,10,27,2444,5,2276,168,0,0,138,0,80,80,33.33,31.82,18,111,NA
2022-07-01,TC,20,11,31,14335,15,13958,377,6,0,483,1,175,81.82,53.4,74.88,18,NA,NA
2022-07-01,CC,NA,NA,NA,NA,8,NA,NA,10,2,884,0,437,NA,NA,NA,NA,NA,NA
2022-07-01,Overall,163,134,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.36,NA,NA,NA
2022-08-01,CENT,36,80,116,40643,31,38987,1656,NA,NA,1915,NA,521,98.75,27.46,48.05,14,133,NA
2022-08-01,CE,102,63,165,17981,6,17025,956,NA,NA,852,NA,147,90.48,31.59,69.55,14,14,431
2022-08-01,CW,11,21,32,2673,9,2502,171,NA,NA,144,NA,77,100,19.32,33.07,14,118,NA
2022-08-01,TC,29,19,48,14835,3,14405,430,NA,NA,481,NA,177,100,66.54,77.01,14,NA,NA
2022-08-01,CC,NA,NA,0,NA,2,NA,NA,NA,NA,876,NA,435,NA,NA,56.99,NA,NA,NA
2022-08-01,Overall,178,183,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
